system,metric,estimate,lower,upper,confidence_level,resamples
bert_mean_last_four,accuracy,0.670846394984326,0.6363636363636364,0.7084639498432602,0.95,1000
bert_mean_last_four,macro_f1,0.6672858391608392,0.6313982949844958,0.7038809820132667,0.95,1000
bert_mean_last_four,roc_auc,0.7163058539125992,0.6775329581775869,0.7588243439960726,0.95,1000
glove_context_2,accuracy,0.554858934169279,0.5156347962382445,0.5956112852664577,0.95,1000
glove_context_2,macro_f1,0.5511494252873563,0.5105131410626436,0.5914563784903277,0.95,1000
glove_context_2,roc_auc,0.579996265759967,0.53784573251144,0.6273167570795305,0.95,1000
glove_target,accuracy,0.5,0.46391065830721007,0.5392241379310345,0.95,1000
glove_target,macro_f1,0.3333333333333333,0.3168981848059838,0.35032202223958,0.95,1000
glove_target,roc_auc,0.5,0.5,0.5,0.95,1000
