contrast,metric,estimate,lower,upper,confidence_level,resamples
glove_target - glove_context_2,accuracy,-0.054858934169279006,-0.11755485893416923,0.009404388714733484,0.95,1000
glove_target - glove_context_2,macro_f1,-0.21781609195402302,-0.2660915900988363,-0.17103805258190902,0.95,1000
glove_target - glove_context_2,roc_auc,-0.07999626575996699,-0.12731675707953044,-0.037845732511439946,0.95,1000
glove_target - bert_mean_last_four,accuracy,-0.17084639498432597,-0.21947492163009405,-0.12382445141065823,0.95,1000
glove_target - bert_mean_last_four,macro_f1,-0.33395250582750585,-0.3739038778567387,-0.2953270060043405,0.95,1000
glove_target - bert_mean_last_four,roc_auc,-0.21630585391259916,-0.25882434399607257,-0.17753295817758685,0.95,1000
glove_context_2 - bert_mean_last_four,accuracy,-0.11598746081504696,-0.16927899686520376,-0.06579153605015668,0.95,1000
glove_context_2 - bert_mean_last_four,macro_f1,-0.11613641387348284,-0.16895877506783374,-0.06636022110917648,0.95,1000
glove_context_2 - bert_mean_last_four,roc_auc,-0.13630958815263217,-0.19120836511292785,-0.08112228340662059,0.95,1000
