contrast,metric,estimate,lower,upper,confidence_level,resamples
glove_target - glove_context_5,accuracy,-0.109375,-0.3214843749999999,0.05507812499999987,0.95,100
glove_target - glove_context_5,macro_f1,-0.2736428395971506,-0.41722861525053995,-0.1601382091920599,0.95,100
glove_target - glove_context_5,roc_auc,-0.1025390625,-0.2583394607843136,0.0005342874180083498,0.95,100
glove_target - bert_layer_12,accuracy,-0.234375,-0.383203125,-0.109375,0.95,100
glove_target - bert_layer_12,macro_f1,-0.3994104642593958,-0.5168904931071788,-0.28818664818664824,0.95,100
glove_target - bert_layer_12,roc_auc,-0.2568359375,-0.3918191162095336,-0.13104319852941193,0.95,100
glove_context_5 - bert_layer_12,accuracy,-0.125,-0.273828125,0.0089843749999996,0.95,100
glove_context_5 - bert_layer_12,macro_f1,-0.12576762466224523,-0.2637259782368587,0.00015890258020803856,0.95,100
glove_context_5 - bert_layer_12,roc_auc,-0.154296875,-0.3359181812259788,0.011794759570494646,0.95,100
