system,metric,estimate,lower,upper,confidence_level,resamples
bert_layer_12,accuracy,0.734375,0.625,0.8445312499999997,0.95,100
bert_layer_12,macro_f1,0.7327437975927291,0.6156156156156156,0.8413340907458552,0.95,100
bert_layer_12,roc_auc,0.7568359375,0.6310431985294118,0.8918191162095335,0.95,100
glove_context_5,accuracy,0.609375,0.51484375,0.7433593749999996,0.95,100
glove_context_5,macro_f1,0.6069761729304839,0.5056699843705106,0.7302819158407025,0.95,100
glove_context_5,roc_auc,0.6025390625,0.4994657125819916,0.7583394607843132,0.95,100
glove_target,accuracy,0.5,0.375,0.6175781249999999,0.95,100
glove_target,macro_f1,0.3333333333333333,0.2727272727272727,0.3817774458551157,0.95,100
glove_target,roc_auc,0.5,0.5,0.5,0.95,100
